Query,Query_Length,Retrieval_Time_MS,Generation_Time_MS,Total_Time_MS
What is (are) Bile Duct Diseases ?,Medium,17,14804,14827
What is (are) Testicular Disorders ?,Medium,17,9029,9054
What is (are) Scabies ?,Short,10,15477,15493
What is (are) Genetic Brain Disorders ?,Medium,13,15536,15557
What is (are) Frostbite ?,Short,12,10600,10627
What is (are) Rotavirus Infections ?,Medium,10,18161,18193
What is (are) Chest Injuries and Disorders ?,Medium,10,26881,26899
What is (are) Migraine ?,Short,16,13296,13316
Do you have information about Kidney Transplantation,Medium,12,24054,24083
Do you have information about Molds,Medium,10,18147,18162
Do you have information about Artificial Limbs,Medium,12,10833,10868
Do you have information about Pacemakers and Implantable Defibrillators,Medium,13,66086,66110
What is (are) Bipolar Disorder ?,Medium,11,18943,18964
What is (are) Premenstrual Syndrome ?,Medium,10,15409,15421
What is (are) Herniated Disk ?,Medium,10,10479,10494
Do you have information about Healthy Aging,Medium,10,33562,33581
What is (are) Tetanus ?,Short,10,15284,15309
What is (are) Eyelid Disorders ?,Medium,17,21429,21454
Do you have information about Veterans and Military Health,Medium,11,37692,37712
What is (are) Scoliosis ?,Short,13,18658,18680
What is (are) Aneurysms ?,Short,11,7182,7199
What is (are) Chlamydia Infections ?,Medium,18,10059,10083
Do you have information about Farm Health and Safety,Medium,10,29439,29460
Do you have information about Limb Loss,Medium,12,50210,50232
What is (are) Anemia ?,Short,10,13672,13686
What is (are) Transient Ischemic Attack ?,Medium,11,11920,11939
What is (are) Tick Bites ?,Medium,14,9603,9624
What is (are) Mild Cognitive Impairment ?,Medium,11,14490,14508
What is (are) Genital Herpes ?,Medium,16,10181,10204
What is (are) Cholera ?,Short,10,10302,10318
What is (are) Addison Disease ?,Medium,11,10061,10104
What is (are) Kawasaki Disease ?,Medium,9,15236,15250
Do you have information about HIV/AIDS Medicines,Medium,15,30534,30557
What is (are) Fragile X Syndrome ?,Medium,11,10734,10750
Do you have information about Carbohydrates,Medium,11,15715,15748
What is (are) Thoracic Outlet Syndrome ?,Medium,12,11155,11182
What is (are) Heat Illness ?,Medium,11,12953,12971
What is (are) Ehlers-Danlos Syndrome ?,Medium,12,5454,5471
What is (are) Gallstones ?,Short,11,15805,15834
Do you have information about Native Hawaiian and Pacific Islander Health,Medium,10,28225,28239
What is (are) Esophagus Disorders ?,Medium,12,42350,42370
Do you have information about Toddler Development,Medium,10,20333,20362
What is (are) Sleep Apnea ?,Medium,11,12728,12754
Do you have information about School Health,Medium,10,19247,19264
What is (are) Managed Care ?,Medium,11,9555,9572
Do you have information about Underage Drinking,Medium,12,15530,15546
What is (are) Bladder Diseases ?,Medium,11,26753,26770
Do you have information about International Health,Medium,12,14129,14178
What is (are) Cushing's Syndrome ?,Medium,13,9325,9346
What is (are) Infectious Arthritis ?,Medium,17,14001,14042
What is (are) Jaundice ?,Short,11,10326,10347
What is (are) Urinary Tract Infections ?,Medium,10,22087,22107
What is (are) Male Breast Cancer ?,Medium,15,8498,8518
