query,answer
What is (are) Knee Injuries and Disorders ?,"Your knee joint is made up of bone, cartilage, ligaments and fluid. Muscles and tendons help the knee joint move. When any of these structures is hurt or diseased, you have knee problems. Knee problems can cause pain and difficulty walking.    Knee problems are very common, and they occur in people of all ages. Knee problems can interfere with many things, from participation in sports to simply getting up from a chair and walking. This can have a big impact on your life.    The most common disease affecting the knee is osteoarthritis. The cartilage in the knee gradually wears away, causing pain and swelling.    Injuries to ligaments and tendons also cause knee problems. A common injury is to the anterior cruciate ligament (ACL). You usually injure your ACL by a sudden twisting motion. ACL and other knee injuries are common sports injuries.    Treatment of knee problems depends on the cause. In some cases your doctor may recommend knee replacement.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
"What is (are) Poison Ivy, Oak and Sumac ?","If you spend time outdoors, chances are you have been bothered by poison ivy, poison oak or poison sumac at some point. Most people are sensitive to the plants' oily sap. The sap is in the root, stems, leaves and fruit of these plants. If it gets on your skin, it causes a blistering skin rash. The rash can range from mild to severe, depending on how much sap gets on your skin and how sensitive you are to it. Problems can also happen if the plants are burned. Airborne sap-coated soot can get into the eyes, nose, throat and respiratory system.     The best way to avoid the rash is to learn what the plants look like and stay away from them. If you come into contact with the plants, wash your skin and clothing right away. If you develop a rash, ask your pharmacist about over-the-counter medicines. For severe rashes, see your doctor.     National Park Service"
What is (are) After Surgery ?,"After any operation, you'll have some side effects. There is usually some pain with surgery. There may also be swelling and soreness around the area that the surgeon cut. Your surgeon can tell you which side effects to expect.    There can also be complications. These are unplanned events linked to the operation. Some complications are infection, too much bleeding, reaction to anesthesia, or accidental injury. Some people have a greater risk of complications because of other medical conditions.    Your surgeon can tell you how you might feel and what you will be able to do - or not do - the first few days, weeks, or months after surgery. Some other questions to ask are       - How long you will be in the hospital    - What kind of supplies, equipment, and help you might need when you go home    - When you can go back to work    - When it is ok to start exercising again    - Are they any other restrictions in your activities       Following your surgeon's advice can help you recover as soon as possible.    Agency for Healthcare Quality and Research"
What is (are) Pheochromocytoma ?,"Pheochromocytoma is a rare tumor that usually starts in the cells of one of your adrenal glands. Although they are usually benign, pheochromocytomas often cause the adrenal gland to make too many hormones. This can lead to high blood pressure and cause symptoms such as        - Headaches    - Sweating    - Pounding of the heart    - Being shaky    - Being extremely pale       Sometimes pheochromocytoma is part of another condition called multiple endocrine neoplasia syndrome (MEN). People with MEN often have other cancers and other problems involving hormones.     Doctors use lab tests and imaging tests to diagnose it. Surgery is the most common treatment. Other options include radiation therapy, chemotherapy, and targeted therapy. Targeted therapy uses substances that attack cancer cells without harming normal cells.    NIH: National Cancer Institute"
Do you have information about Secondhand Smoke,"Secondhand smoke is a mixture of the smoke that comes from the burning end of a cigarette, cigar, or pipe, and the smoke breathed out by the smoker. It contains more than 7,000 chemicals. Hundreds of those chemicals are toxic and about 70 can cause cancer.    Health effects of secondhand smoke include       - Ear infections in children    - More frequent and severe asthma attacks in children    - Heart disease and lung cancer in adults who have never smoked       There is no safe amount of secondhand smoke. Even low levels of it can be harmful. The only way to fully protect nonsmokers from secondhand smoke is not to allow smoking indoors.    Centers for Disease Control and Prevention"
Do you have information about Medicare Prescription Drug Coverage,"Part D is the name of Medicare's prescription drug coverage. It's insurance that helps people pay for prescription drugs. It is available to everyone who has Medicare. It provides protection if you pay high drug costs or have unexpected prescription drug bills. It doesn't cover all costs. You have to pay part of the cost of prescription drugs. Most people also have to pay an additional monthly cost.    Private companies provide Medicare prescription drug coverage. You choose the drug plan you like best. Whether or not you should sign up depends on how good your current coverage is. You need to sign up as soon as you are eligible for Medicare. Otherwise, there may be additional charges.    Centers for Medicare and Medicaid Services"
What is (are) Rotator Cuff Injuries ?,"Your rotator cuff is located in your shoulder area. It is made of muscles and tendons. It helps your shoulder to move and stay stable. Problems with the rotator cuff are common. They include tendinitis, bursitis, and injuries such as tears.    Rotator cuff tendons can become inflamed from frequent use or aging. Sometimes they are injured from a fall on an outstretched hand. Sports or jobs with repeated overhead motion can also damage the rotator cuff. Aging causes tendons to wear down, which can lead to a tear.     Some tears are not painful, but others can be very painful. Treatment for a torn rotator cuff depends on age, health, how severe the injury is, and how long you've had the torn rotator cuff.     Treatment for torn rotator cuff includes:       - Rest    - Heat or cold to the sore area    - Medicines that reduce pain and swelling    - Electrical stimulation of muscles and nerves    - Ultrasound    - Cortisone injection    - Surgery       NIH: National Institute of Arthritis and Musculoskeletal and Skin Disease"
What is (are) Helicobacter Pylori Infections ?,"Helicobacter pylori (H. pylori) is a type of bacteria that causes infection in the stomach. It is found in about two-thirds of the world's population. It may be spread by unclean food and water, but researchers aren't sure. It causes Peptic ulcers and can also cause stomach cancer.    If you have symptoms of a peptic ulcer, your doctor will test your blood, breath or stool to see if it contains H. pylori. The best treatment is a combination of antibiotics and acid-reducing medicines. You will need to be tested after treatment to make sure the infection is gone.    To help prevent an H. pylori infection, you should       - Wash your hands after using the bathroom and before eating    - Eat properly prepared food    - Drink water from a clean, safe source       NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Attention Deficit Hyperactivity Disorder ?,"Is it hard for your child to sit still? Does your child act without thinking first? Does your child start but not finish things? If so, your child may have attention deficit hyperactivity disorder (ADHD). Nearly everyone shows some of these behaviors at times, but ADHD lasts more than 6 months and causes problems in school, at home and in social situations.    ADHD is more common in boys than girls. It affects 3-5 percent of all American children.    The main features of ADHD are       - Inattention    - Hyperactivity    - Impulsivity       No one knows exactly what causes ADHD. It sometimes runs in families, so genetics may be a factor. There may also be environmental factors.    A complete evaluation by a trained professional is the only way to know for sure if your child has ADHD. Treatment may include medicine to control symptoms, therapy, or both. Structure at home and at school is important. Parent training may also help.    NIH: National Institute of Mental Health"
Do you have information about Diets,"Your diet is made up of what you eat. A healthy diet        - May include fruits, vegetables, whole grains, and fat-free or low-fat milk and milk products    - May include lean meats, poultry, fish, beans, eggs and nuts    - Goes easy on saturated fats, trans fat, cholesterol, salt (sodium), and added sugars       There are many different types of diets. Some, like a vegetarian diet, don't include meats. Others, like the Mediterranean diet, describe a traditional way of eating of a specific region. And there are diets for people with certain health problems, such as diabetes and high blood pressure.    Many people follow specific diets to lose weight. Some of these diets are fad or crash diets that severely restrict calories or the types of food you are allowed to eat. These diets rarely lead to permanent weight loss and often don't provide all of the nutrients your body needs. To lose weight, you need to use more calories than you eat. Portion control is the key. When trying to lose weight, you can still eat your favorite foods -- as long as you pay attention to the total number of calories that you eat.     NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Peptic Ulcer ?,"A peptic ulcer is a sore in the lining of your stomach or your duodenum, the first part of your small intestine. A burning stomach pain is the most common symptom. The pain       - Starts between meals or during the night    - Briefly stops if you eat or take antacids    - Lasts for minutes to hours    - Comes and goes for several days or weeks       Peptic ulcers happen when the acids that help you digest food damage the walls of the stomach or duodenum. The most common cause is infection with a bacterium called Helicobacter pylori. Another cause is the long-term use of nonsteroidal anti-inflammatory medicines (NSAIDs) such as aspirin and ibuprofen. Stress and spicy foods do not cause ulcers, but can make them worse.     To see if you have an H. pylori infection, your doctor will test your blood, breath, or stool. Your doctor also may look inside your stomach and duodenum by doing an endoscopy or x-ray.    Peptic ulcers will get worse if not treated. Treatment may include medicines to reduce stomach acids or antibiotics to kill H. pylori. Antacids and milk can't heal peptic ulcers. Not smoking and avoiding alcohol can help. You may need surgery if your ulcers don't heal.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
Do you have information about Ebola,"Ebola hemorrhagic fever is caused by a virus. It is a severe and often fatal disease. It can affect humans and other primates. Researchers believe that the virus first spreads from an infected animal to a human. It can then spread from human to human through direct contact with a patient's blood or secretions.    Symptoms of Ebola may appear anywhere from 2 to 21 days after exposure to the virus. Symptoms usually include       - Fever    - Headache    - Joint and muscle aches    - Weakness    - Diarrhea    - Vomiting    - Stomach pain    - Lack of appetite       Other symptoms including rash, red eyes, and internal and external bleeding, may also occur.    The early symptoms of Ebola are similar to other, more common, diseases. This makes it difficult to diagnose Ebola in someone who has been infected for only a few days. However, if a person has the early symptoms of Ebola and there is reason to suspect Ebola, the patient should be isolated. It is also important to notify public health professionals. Lab tests can confirm whether the patient has Ebola.    There is no cure for Ebola. Treatment involves supportive care such as fluids, oxygen, and treatment of complications. Some people who get Ebola are able to recover, but many do not.    Centers for Disease Control and Prevention"
Do you have information about Medicines,"You may need to take medicines every day, or only once in a while. Either way, you want to make sure that the medicines are safe and will help you get better. In the United States, the Food and Drug Administration is in charge of assuring the safety and effectiveness of both prescription and over-the-counter medicines.    Even safe drugs can cause unwanted side effects or interactions with food or other medicines you may be taking. They may not be safe during pregnancy. To reduce the risk of reactions and make sure that you get better, it is important for you to take your medicines correctly and be careful when giving medicines to children."
What is (are) Prader-Willi Syndrome ?,"Prader-Willi Syndrome (PWS) is a rare genetic disorder. It causes poor muscle tone, low levels of sex hormones and a constant feeling of hunger. The part of the brain that controls feelings of fullness or hunger does not work properly in people with PWS. They overeat, leading to obesity.    Babies with PWS are usually floppy, with poor muscle tone, and have trouble sucking. Boys may have undescended testicles. Later, other signs appear. These include       - Short stature    - Poor motor skills    - Weight gain     - Underdeveloped sex organs    - Mild intellectual and learning disabilities       There is no cure for PWS. Growth hormone, exercise, and dietary supervision can help build muscle mass and control weight. Other treatments may include sex hormones and behavior therapy. Most people with PWS will need specialized care and supervision throughout their lives.    NIH: National Institute of Child Health and Human Development"
Do you have information about Drinking Water,"We all need to drink water. How much you need depends on your size, activity level, and the weather where you live.    The water you drink is a combination of surface water and groundwater. Surface water includes rivers, lakes and reservoirs. Groundwater comes from underground. The United States has one of the safest water supplies in the world, but drinking water quality can vary from place to place. It depends on the condition of the source water and the treatment it receives. Treatment may include adding fluoride to prevent cavities and chlorine to kill germs.     Your water supplier must give you annual reports on drinking water. The reports include where your water came from and what contaminants are in it.    Centers for Disease Control and Prevention"
What is (are) Autoimmune Diseases ?,"Your body's immune system protects you from disease and infection. But if you have an autoimmune disease, your immune system attacks healthy cells in your body by mistake. Autoimmune diseases can affect many parts of the body.    No one is sure what causes autoimmune diseases. They do tend to run in families. Women - particularly African-American, Hispanic-American, and Native-American women - have a higher risk for some autoimmune diseases.    There are more than 80 types of autoimmune diseases, and some have similar symptoms. This makes it hard for your health care provider to know if you really have one of these diseases, and if so, which one. Getting a diagnosis can be frustrating and stressful. Often, the first symptoms are fatigue, muscle aches and a low fever. The classic sign of an autoimmune disease is inflammation, which can cause redness, heat, pain and swelling.    The diseases may also have flare-ups, when they get worse, and remissions, when symptoms get better or disappear. Treatment depends on the disease, but in most cases one important goal is to reduce inflammation. Sometimes doctors prescribe corticosteroids or other drugs that reduce your immune response."
What is (are) Infections and Pregnancy ?,"If you are pregnant, an infection can be more than just a problem for you. Some infections can be dangerous to your baby. You can help yourself avoid infections:       - Don't eat raw or undercooked meat    - Don't share food or drinks with other people    - Wash your hands frequently    - Don't empty cat litter. Cats can transmit toxoplasmosis.       You may need to take medicines or get a vaccine to prevent an infection in your baby. For example, you may need to take antibiotics if you develop an infection with group B strep, or take medicines if you have genital herpes. Only some medicines and vaccines are safe during pregnancy. Ask your health care provider about how best to protect you and your baby."
What is (are) Coping with Chronic Illness ?,"Having a long-term, or chronic, illness can disrupt your life in many ways. You may often be tired and in pain. Your illness might affect your appearance or your physical abilities and independence. You may not be able to work, causing financial problems. For children, chronic illnesses can be frightening, because they may not understand why this is happening to them.    These changes can cause stress, anxiety and anger. If they do, it is important to seek help. A trained counselor can help you develop strategies to regain a feeling of control. Support groups might help, too. You will find that you are not alone, and you may learn some new tips on how to cope."
What is (are) Endocarditis ?,"Endocarditis, also called infective endocarditis (IE), is an inflammation of the inner lining of the heart. The most common type, bacterial endocarditis, occurs when germs enter your heart. These germs come through your bloodstream from another part of your body, often your mouth. Bacterial endocarditis can damage your heart valves. If untreated, it can be life-threatening. It is rare in healthy hearts.     Risk factors include having       - An abnormal or damaged heart valve     - An artificial heart valve     - Congenital heart defects       The signs and symptoms of IE can vary from person to person. They also can vary over time in the same person. Symptoms you might notice include fever, shortness of breath, fluid buildup in your arms or legs, tiny red spots on your skin, and weight loss. Your doctor will diagnose IE based on your risk factors, medical history, signs and symptoms, and lab and heart tests.    Early treatment can help you avoid complications. Treatment usually involves high-dose antibiotics. If your heart valve is damaged, you may need surgery.    If you're at risk for IE, brush and floss your teeth regularly, and have regular dental checkups. Germs from a gum infection can enter your bloodstream. If you are at high risk, your doctor might prescribe antibiotics before dental work and certain types of surgery.    NIH: National Heart, Lung, and Blood Institute"
What is (are) Guillain-Barre Syndrome ?,"Guillain-Barre syndrome is a rare disorder that causes your immune system to attack your peripheral nervous system (PNS). The PNS nerves connect your brain and spinal cord with the rest of your body. Damage to these nerves makes it hard for them to transmit signals. As a result, your muscles have trouble responding to your brain. No one knows what causes the syndrome. Sometimes it is triggered by an infection, surgery, or a vaccination.     The first symptom is usually weakness or a tingling feeling in your legs. The feeling can spread to your upper body. In severe cases, you become almost paralyzed. This is life-threatening. You might need a respirator to breathe. Symptoms usually worsen over a period of weeks and then stabilize.     Guillain-Barre can be hard to diagnose. Possible tests include nerve tests and a spinal tap. Most people recover. Recovery can take a few weeks to a few years. Treatment can help symptoms, and may include medicines or a procedure called plasma exchange.    NIH: National Institute of Neurological Disorders and Stroke"
What is (are) Gum Disease ?,"If you have gum disease, you're not alone. Many U.S. adults currently have some form of the disease. It ranges from simple gum inflammation, called gingivitis, to serious damage to the tissue and bone supporting the teeth. In the worst cases, you can lose teeth.    In gingivitis, the gums become red and swollen. They can bleed easily. Gingivitis is a mild form of gum disease. You can usually reverse it with daily brushing and flossing and regular cleanings by a dentist or dental hygienist. Untreated gingivitis can lead to periodontitis. If you have periodontitis, the gums pull away from the teeth and form pockets that become infected. If not treated, the bones, gums and connective tissue that support the teeth are destroyed.    NIH: National Institute of Dental and Craniofacial Research"
What is (are) Pregnancy and Substance Abuse ?,"When you are pregnant, you are not just ""eating for two."" You also breathe and drink for two, so it is important to carefully consider what you give to your baby. If you smoke, use alcohol or take illegal drugs, so does your unborn baby.    First, don't smoke. Smoking during pregnancy passes nicotine and cancer-causing drugs to your baby. Smoke also keeps your baby from getting nourishment and raises the risk of stillbirth or premature birth. Don't drink alcohol. There is no known safe amount of alcohol a woman can drink while pregnant. Alcohol can cause life-long physical and behavioral problems in children, including fetal alcohol syndrome. Don't use illegal drugs. Using illegal drugs may cause underweight babies, birth defects or withdrawal symptoms after birth.    If you are pregnant and you smoke, drink alcohol or do drugs, get help. Your health care provider can recommend programs to help you quit. You and your baby will be better off.    Dept. of Health and Human Services Office on Women's Health"
Do you have information about Evaluating Health Information,"Millions of consumers get health information from magazines, TV or the Internet. Some of the information is reliable and up to date; some is not. How can you tell the good from the bad?    First, consider the source. If you use the Web, look for an ""about us"" page. Check to see who runs the site: Is it a branch of the government, a university, a health organization, a hospital or a business? Focus on quality. Does the site have an editorial board? Is the information reviewed before it is posted? Be skeptical. Things that sound too good to be true often are. You want current, unbiased information based on research.    NIH: National Library of Medicine"
What is (are) Degenerative Nerve Diseases ?,"Degenerative nerve diseases affect many of your body's activities, such as balance, movement, talking, breathing, and heart function. Many of these diseases are genetic. Sometimes the cause is a medical condition such as alcoholism, a tumor, or a stroke. Other causes may include toxins, chemicals, and viruses. Sometimes the cause is not known.    Degenerative nerve diseases include       -  Alzheimer's disease    -  Amyotrophic lateral sclerosis    - Friedreich's ataxia    -  Huntington's disease    -  Lewy body disease    - Parkinson's disease     -  Spinal muscular atrophy       Degenerative nerve diseases can be serious or life-threatening. It depends on the type. Most of them have no cure. Treatments may help improve symptoms, relieve pain, and increase mobility."
Do you have information about Native American Health,"Every racial or ethnic group has specific health concerns. Differences in the health of groups can result from:       - Genetics    - Environmental factors    - Access to care    - Cultural factors        On this page, you'll find links to health issues that affect Native Americans."
What is (are) Gluten Sensitivity ?,"Gluten is a protein found in wheat, rye, and barley. It is found mainly in foods but may also be in other products like medicines, vitamins, and supplements. People with gluten sensitivity have problems with gluten. It is different from celiac disease, an immune disease in which people can't eat gluten because it will damage their small intestine.    Some of the symptoms of gluten sensitivity are similar to celiac disease. They include tiredness and stomachaches. It can cause other symptoms too, including muscle cramps and leg numbness. But it does not damage the small intestine like celiac disease.    Researchers are still learning more about gluten sensitivity. If your health care provider thinks you have it, he or she may suggest that you stop eating gluten to see if your symptoms go away. However, you should first be tested to rule out celiac disease.    Dept. of Health and Human Services Office on Women's Health"
What is (are) Head Lice ?,"Head lice are parasitic wingless insects. They live on people's heads and feed on their blood. An adult louse is about the size of a sesame seed. The eggs, called nits, are even smaller - about the size of a knot in thread. Lice and nits are found on or near the scalp, most often at the neckline and behind the ears.    Lice spread by close person-to-person contact. It is possible, but not common, to get lice by sharing personal belongings such as hats or hairbrushes. Children ages 3-11 and their families get head lice most often. Personal hygiene has nothing to do with getting head lice. Head lice do not spread disease.    Symptoms are        - Tickling feeling in the hair    - Frequent itching    - Sores from scratching    - Irritability and difficulty sleeping. Head lice are most active in the dark.       Treatment is recommended for people who have an active infestation of head lice. All household members and other close contacts should be checked and treated if necessary. Some experts also recommend treating anyone who shares a bed with an infested person. It is important to treat everyone at the same time.    Centers for Disease Control and Prevention"
What is (are) Prediabetes ?,"Prediabetes means you have blood glucose, or blood sugar, levels that are higher than normal but not high enough to be called diabetes. Glucose comes from the foods you eat. Too much glucose in your blood can damage your body over time. If you have prediabetes, you are more likely to develop type 2 diabetes, heart disease, and stroke.    Most people with prediabetes don't have any symptoms. Your doctor can use an A1C test or another blood test to find out if your blood glucose levels are higher than normal. If you are 45 years old or older, your doctor may recommend that you be tested for prediabetes, especially if you are overweight.    Losing weight - at least 5 to 10 percent of your starting weight - can prevent or delay diabetes or even reverse prediabetes. That's 10 to 20 pounds for someone who weighs 200 pounds. You can lose weight by cutting down on the amount of calories and fat you eat and being physically active at least 30 minutes a day. Being physically active makes your body's insulin work better. Your doctor may also prescribe medicine to help control the amount of glucose in your blood.    NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Voice Disorders ?,"Voice is the sound made by air passing from your lungs through your larynx, or voice box. In your larynx are your vocal cords, two bands of muscle that vibrate to make sound. For most of us, our voices play a big part in who we are, what we do, and how we communicate. Like fingerprints, each person's voice is unique.    Many things we do can injure our vocal cords. Talking too much, screaming, constantly clearing your throat, or smoking can make you hoarse. They can also lead to problems such as nodules, polyps, and sores on the vocal cords. Other causes of voice disorders include infections, upward movement of stomach acids into the throat, growths due to a virus, cancer, and diseases that paralyze the vocal cords.    Signs that your voice isn't healthy include       - Your voice has become hoarse or raspy    - You've lost the ability to hit some high notes when singing    - Your voice suddenly sounds deeper    - Your throat often feels raw, achy, or strained    - It's become an effort to talk       Treatment for voice disorders varies depending on the cause. Most voice problems can be successfully treated when diagnosed early.    NIH: National Institute on Deafness and Other Communication Disorders"
Do you have information about Eye Wear,"Eye wear protects or corrects your vision. Examples are       - Sunglasses    - Safety goggles    - Glasses (also called eyeglasses)    - Contact lenses       If you need corrective lenses, you may be able to choose between contacts or glasses. Either usually requires a prescription. Almost anyone can wear glasses. Contact lenses require more careful handling.     Many jobs and some sports carry a risk of eye injury. Thousands of children and adults get eye injuries every year. Most are preventable with proper eye protection. Everyone is at risk for eye damage from the sun year-round. It's important to regularly use sunglasses that block out at least 99 percent of UV rays."
What is (are) Bile Duct Diseases ?,"Your liver makes a digestive juice called bile. Your gallbladder stores it between meals. When you eat, your gallbladder pushes the bile into tubes called bile ducts. They carry the bile to your small intestine. The bile helps break down fat. It also helps the liver get rid of toxins and wastes.    Different diseases can block the bile ducts and cause a problem with the flow of bile:       - Gallstones, which can increase pressure in the gallbladder and cause a gallbladder attack. The pain usually lasts from one to several hours.    - Cancer    - Infections    - Birth defects, such as biliary atresia. It is the most common reason for liver transplants in children in the United States.    - Inflammation, which can cause scarring. Over time, this can lead to liver failure.       NIH: National Institute of Diabetes and Digestive and Kidney Diseases"
What is (are) Testicular Disorders ?,"Testicles, or testes, make male hormones and sperm. They are two egg-shaped organs inside the scrotum, the loose sac of skin behind the penis. It's easy to injure your testicles because they are not protected by bones or muscles. Men and boys should wear athletic supporters when they play sports.     You should examine your testicles monthly and seek medical attention for lumps, redness, pain or other changes. Testicles can get inflamed or infected. They can also develop cancer. Testicular cancer is rare and highly treatable. It usually happens between the ages of 15 and 40."
